batsman,batsman_runs
A Ashish Reddy,280
A Chandila,4
A Chopra,53
A Choudhary,25
A Flintoff,62
A Kumble,35
A Mishra,340
A Mithun,34
A Mukund,19
A Nehra,41
A Singh,2
A Symonds,974
A Uniyal,4
A Zampa,5
AA Bilakhia,69
AA Chavan,12
AA Jhunjhunwala,217
AA Noffke,9
AB Agarkar,179
AB Barath,42
AB Dinda,26
AB McDonald,123
AB de Villiers,3486
AC Blizzard,120
AC Gilchrist,2069
AC Thomas,20
AC Voges,181
AD Mascarenhas,79
AD Mathews,724
AD Nath,20
AD Russell,574
AF Milne,7
AG Murtaza,10
AG Paunikar,49
AJ Finch,1604
AJ Tye,53
AL Menaria,401
AM Nayar,672
AM Rahane,3057
AN Ahmed,36
AN Ghosh,7
AP Dole,34
AP Majumdar,87
AP Tare,339
AR Bawne,12
AR Patel,606
AS Rajpoot,6
AS Raut,194
AS Yadav,49
AT Rayudu,2416
AUK Pathan,39
Abdur Razzak,0
Anirudh Singh,63
Ankit Sharma,87
Ankit Soni,7
Anureet Singh,33
Azhar Mahmood,388
B Akhil,76
B Chipli,280
B Kumar,158
B Laughlin,4
B Lee,124
B Sumanth,35
BA Bhatt,6
BA Stokes,316
BAW Mendis,3
BB McCullum,2755
BB Samantray,125
BB Sran,4
BCJ Cutting,124
BE Hendricks,1
BJ Haddin,18
BJ Hodge,1400
BJ Rohrer,193
BMAJ Mendis,23
BR Dunk,40
Basil Thampi,28
Bipul Sharma,187
C Madan,15
C Munro,30
C Nanda,0
C de Grandhomme,126
CA Ingram,21
CA Lynn,384
CA Pujara,390
CH Gayle,3651
CH Morris,439
CJ Anderson,521
CJ Ferguson,98
CJ Jordan,3
CJ McKay,8
CK Kapugedera,16
CK Langeveldt,8
CL White,971
CM Gautam,169
CR Brathwaite,95
CR Woakes,46
CRD Fernando,4
D Kalyankrishna,3
D Salunkhe,33
D Wiese,127
D du Preez,10
DA Miller,1563
DA Warner,4014
DAJ Bracewell,12
DB Das,304
DB Ravi Teja,375
DE Bollinger,21
DH Yagnik,170
DJ Bravo,1262
DJ Harris,111
DJ Hooda,373
DJ Hussey,1322
DJ Jacobs,92
DJ Muthuswami,1
DJ Thornely,39
DJG Sammy,295
DL Chahar,14
DL Vettori,121
DM Bravo,6
DNT Zoysa,11
DP Nannes,4
DP Vijaykumar,1
DPMD Jayawardene,1808
DR Martyn,19
DR Smith,2385
DS Kulkarni,90
DS Lehmann,18
DT Christian,420
DT Patil,13
DW Steyn,166
EJG Morgan,854
ER Dwivedi,24
F Behardien,14
F du Plessis,1295
FH Edwards,4
FY Fazal,183
G Gambhir,4132
GB Hogg,22
GC Smith,739
GD McGrath,4
GH Vihari,280
GJ Bailey,663
GJ Maxwell,1229
GR Napier,15
Gurkeerat Singh,342
H Das,2
HH Gibbs,886
HH Pandya,406
HM Amla,577
HV Patel,47
Harbhajan Singh,799
Harmeet Singh,18
Harpreet Singh,20
I Malhotra,7
